stop1_name,stop2_name,Hour,MedianRunTime,CompromiseRunTime,MinMedianTime,Route1Stop,AdjustedHour,Direction,Sort
Mass. Ave @ Albany St,Mass. Ave @ Sidney St,11,91,82,73,Albany-Sidney,11:00 AM,Northbound,16
Mass. Ave @ Sidney St,Mass. Ave @ Prospect St,11,131,100,69,Sidney-Prospect,11:00 AM,Northbound,17
Mass. Ave @ Prospect St,Mass. Ave @ Bigelow St,11,80,58,36,Prospect-Bigelow,11:00 AM,Northbound,18
Mass. Ave @ Bigelow St,Mass. Ave @ Hancock St,11,41,35.5,30,Bigelow-Hancock,11:00 AM,Northbound,19
Mass. Ave @ Hancock St,Mass. Ave @ Dana St,11,31,26.75,22.5,Hancock-Dana,11:00 AM,Northbound,20
Mass. Ave @ Dana St,Mass. Ave @ Trowbridge St,11,47.5,36.25,25,Dana-Trowbridge,11:00 AM,Northbound,21
Mass. Ave @ Trowbridge St,Mass. Ave @ Bow St,11,42,36,30,Trowbridge-Bow,11:00 AM,Northbound,22
Mass. Ave @ Bow St,Mass. Ave @ Holyoke St,11,43,35.5,28,Bow-Holyoke,11:00 AM,Northbound,23
Mass. Ave @ Holyoke St,,11,,,,,11:00 AM,Northbound,24
Dudley Square Station,Washington St opp Ruggles St,12,44,37.5,31,Dudley-Ruggles,12:00 PM,Northbound,0
Washington St opp Ruggles St,Washington St @ Melnea Cass Blvd,12,41,35,29,Ruggles-MelneaCass,12:00 PM,Northbound,1
Washington St @ Melnea Cass Blvd,Melnea Cass Blvd @ Harrison Ave,12,45,32,19,MelneaCass-Harrison,12:00 PM,Northbound,2
Melnea Cass Blvd @ Harrison Ave,Albany St opp Randall St,12,71,57,43,Harrison-Randall,12:00 PM,Northbound,3
Albany St opp Randall St,Mass. Ave @ Albany St,12,82,71.5,61,Randall-Albany,12:00 PM,Northbound,4
Mass. Ave @ Albany St,Mass. Ave @ Harrison Ave,12,41,32,23,Albany-Harrison,12:00 PM,Northbound,5
Mass. Ave @ Harrison Ave,Mass. Ave @ Washington St,12,123.5,89.25,55,Harrison-Washington,12:00 PM,Northbound,6
Mass. Ave @ Washington St,Mass. Ave @ Tremont St,12,102,85,68,Washington-Tremont,12:00 PM,Northbound,7
Mass. Ave @ Tremont St,Mass. Ave @ Columbus Ave,12,32,27,22,Tremont-Columbus,12:00 PM,Northbound,8
Mass. Ave @ Columbus Ave,Mass. Ave @ Mass. Ave Station,12,49,39,29,Columbus-MassAveStation,12:00 PM,Northbound,9
Mass. Ave @ Mass. Ave Station,Mass. Ave @ St Botolph St,12,53,34,15,MassAveStation-StBotolph,12:00 PM,Northbound,10
Mass. Ave @ St Botolph St,Mass. Ave @ Clearway St,12,86,66.5,47,StBotolph-Clearway,12:00 PM,Northbound,11
Mass. Ave @ Clearway St,Mass. Ave @ Newbury St,12,102,78,54,Clearway-Newbury,12:00 PM,Northbound,12
Mass. Ave @ Newbury St,Mass. Ave @ Beacon St,12,97,87,77,Newbury-Beacon,12:00 PM,Northbound,13
Mass. Ave @ Beacon St,77 Mass. Ave,12,151.5,131.75,112,Beacon-MassAve,12:00 PM,Northbound,14
77 Mass. Ave,Mass. Ave @ Albany St,12,83,63,43,MassAve-Albany,12:00 PM,Northbound,15
Mass. Ave @ Albany St,Mass. Ave @ Sidney St,12,90,81.5,73,Albany-Sidney,12:00 PM,Northbound,16
Mass. Ave @ Sidney St,Mass. Ave @ Prospect St,12,145,107,69,Sidney-Prospect,12:00 PM,Northbound,17
Mass. Ave @ Prospect St,Mass. Ave @ Bigelow St,12,81,58.5,36,Prospect-Bigelow,12:00 PM,Northbound,18
Mass. Ave @ Bigelow St,Mass. Ave @ Hancock St,12,43,36.5,30,Bigelow-Hancock,12:00 PM,Northbound,19
Mass. Ave @ Hancock St,Mass. Ave @ Dana St,12,33,27.75,22.5,Hancock-Dana,12:00 PM,Northbound,20
Mass. Ave @ Dana St,Mass. Ave @ Trowbridge St,12,51,38,25,Dana-Trowbridge,12:00 PM,Northbound,21
Mass. Ave @ Trowbridge St,Mass. Ave @ Bow St,12,45,37.5,30,Trowbridge-Bow,12:00 PM,Northbound,22
Mass. Ave @ Bow St,Mass. Ave @ Holyoke St,12,43,35.5,28,Bow-Holyoke,12:00 PM,Northbound,23
Mass. Ave @ Holyoke St,,12,,,,,12:00 PM,Northbound,24
Dudley Square Station,Washington St opp Ruggles St,13,50,40.5,31,Dudley-Ruggles,1:00 PM,Northbound,0
Washington St opp Ruggles St,Washington St @ Melnea Cass Blvd,13,48,38.5,29,Ruggles-MelneaCass,1:00 PM,Northbound,1
Washington St @ Melnea Cass Blvd,Melnea Cass Blvd @ Harrison Ave,13,48,33.5,19,MelneaCass-Harrison,1:00 PM,Northbound,2
Melnea Cass Blvd @ Harrison Ave,Albany St opp Randall St,13,88,65.5,43,Harrison-Randall,1:00 PM,Northbound,3
Albany St opp Randall St,Mass. Ave @ Albany St,13,77,69,61,Randall-Albany,1:00 PM,Northbound,4
Mass. Ave @ Albany St,Mass. Ave @ Harrison Ave,13,39.5,31.25,23,Albany-Harrison,1:00 PM,Northbound,5
Mass. Ave @ Harrison Ave,Mass. Ave @ Washington St,13,115,85,55,Harrison-Washington,1:00 PM,Northbound,6
Mass. Ave @ Washington St,Mass. Ave @ Tremont St,13,104,86,68,Washington-Tremont,1:00 PM,Northbound,7
Mass. Ave @ Tremont St,Mass. Ave @ Columbus Ave,13,36,29,22,Tremont-Columbus,1:00 PM,Northbound,8
Mass. Ave @ Columbus Ave,Mass. Ave @ Mass. Ave Station,13,47,38,29,Columbus-MassAveStation,1:00 PM,Northbound,9
Mass. Ave @ Mass. Ave Station,Mass. Ave @ St Botolph St,13,49,32,15,MassAveStation-StBotolph,1:00 PM,Northbound,10
Mass. Ave @ St Botolph St,Mass. Ave @ Clearway St,13,85,66,47,StBotolph-Clearway,1:00 PM,Northbound,11
Mass. Ave @ Clearway St,Mass. Ave @ Newbury St,13,106,80,54,Clearway-Newbury,1:00 PM,Northbound,12
Mass. Ave @ Newbury St,Mass. Ave @ Beacon St,13,100,88.5,77,Newbury-Beacon,1:00 PM,Northbound,13
Mass. Ave @ Beacon St,77 Mass. Ave,13,144,128,112,Beacon-MassAve,1:00 PM,Northbound,14
77 Mass. Ave,Mass. Ave @ Albany St,13,74,58.5,43,MassAve-Albany,1:00 PM,Northbound,15
Mass. Ave @ Albany St,Mass. Ave @ Sidney St,13,87,80,73,Albany-Sidney,1:00 PM,Northbound,16
Mass. Ave @ Sidney St,Mass. Ave @ Prospect St,13,133,101,69,Sidney-Prospect,1:00 PM,Northbound,17
Mass. Ave @ Prospect St,Mass. Ave @ Bigelow St,13,84,60,36,Prospect-Bigelow,1:00 PM,Northbound,18
Mass. Ave @ Bigelow St,Mass. Ave @ Hancock St,13,43,36.5,30,Bigelow-Hancock,1:00 PM,Northbound,19
Mass. Ave @ Hancock St,Mass. Ave @ Dana St,13,33,27.75,22.5,Hancock-Dana,1:00 PM,Northbound,20
Mass. Ave @ Dana St,Mass. Ave @ Trowbridge St,13,54,39.5,25,Dana-Trowbridge,1:00 PM,Northbound,21
Mass. Ave @ Trowbridge St,Mass. Ave @ Bow St,13,44,37,30,Trowbridge-Bow,1:00 PM,Northbound,22
Mass. Ave @ Bow St,Mass. Ave @ Holyoke St,13,46,37,28,Bow-Holyoke,1:00 PM,Northbound,23
Mass. Ave @ Holyoke St,,13,,,,,1:00 PM,Northbound,24
Dudley Square Station,Washington St opp Ruggles St,14,50,40.5,31,Dudley-Ruggles,2:00 PM,Northbound,0
Washington St opp Ruggles St,Washington St @ Melnea Cass Blvd,14,55,42,29,Ruggles-MelneaCass,2:00 PM,Northbound,1
Washington St @ Melnea Cass Blvd,Melnea Cass Blvd @ Harrison Ave,14,54,36.5,19,MelneaCass-Harrison,2:00 PM,Northbound,2
Melnea Cass Blvd @ Harrison Ave,Albany St opp Randall St,14,89,66,43,Harrison-Randall,2:00 PM,Northbound,3
Albany St opp Randall St,Mass. Ave @ Albany St,14,100,80.5,61,Randall-Albany,2:00 PM,Northbound,4
Mass. Ave @ Albany St,Mass. Ave @ Harrison Ave,14,35,29,23,Albany-Harrison,2:00 PM,Northbound,5
Mass. Ave @ Harrison Ave,Mass. Ave @ Washington St,14,110,82.5,55,Harrison-Washington,2:00 PM,Northbound,6
Mass. Ave @ Washington St,Mass. Ave @ Tremont St,14,102,85,68,Washington-Tremont,2:00 PM,Northbound,7
Mass. Ave @ Tremont St,Mass. Ave @ Columbus Ave,14,35,28.5,22,Tremont-Columbus,2:00 PM,Northbound,8
Mass. Ave @ Columbus Ave,Mass. Ave @ Mass. Ave Station,14,59,44,29,Columbus-MassAveStation,2:00 PM,Northbound,9
Mass. Ave @ Mass. Ave Station,Mass. Ave @ St Botolph St,14,45,30,15,MassAveStation-StBotolph,2:00 PM,Northbound,10
Mass. Ave @ St Botolph St,Mass. Ave @ Clearway St,14,95,71,47,StBotolph-Clearway,2:00 PM,Northbound,11
Mass. Ave @ Clearway St,Mass. Ave @ Newbury St,14,186,120,54,Clearway-Newbury,2:00 PM,Northbound,12
Mass. Ave @ Newbury St,Mass. Ave @ Beacon St,14,101,89,77,Newbury-Beacon,2:00 PM,Northbound,13
Mass. Ave @ Beacon St,77 Mass. Ave,14,146.5,129.25,112,Beacon-MassAve,2:00 PM,Northbound,14
77 Mass. Ave,Mass. Ave @ Albany St,14,67,55,43,MassAve-Albany,2:00 PM,Northbound,15
Mass. Ave @ Albany St,Mass. Ave @ Sidney St,14,87.5,80.25,73,Albany-Sidney,2:00 PM,Northbound,16
Mass. Ave @ Sidney St,Mass. Ave @ Prospect St,14,124,96.5,69,Sidney-Prospect,2:00 PM,Northbound,17
Mass. Ave @ Prospect St,Mass. Ave @ Bigelow St,14,76,56,36,Prospect-Bigelow,2:00 PM,Northbound,18
Mass. Ave @ Bigelow St,Mass. Ave @ Hancock St,14,44.5,37.25,30,Bigelow-Hancock,2:00 PM,Northbound,19
Mass. Ave @ Hancock St,Mass. Ave @ Dana St,14,35,28.75,22.5,Hancock-Dana,2:00 PM,Northbound,20
Mass. Ave @ Dana St,Mass. Ave @ Trowbridge St,14,49.5,37.25,25,Dana-Trowbridge,2:00 PM,Northbound,21
Mass. Ave @ Trowbridge St,Mass. Ave @ Bow St,14,44.5,37.25,30,Trowbridge-Bow,2:00 PM,Northbound,22
Mass. Ave @ Bow St,Mass. Ave @ Holyoke St,14,44,36,28,Bow-Holyoke,2:00 PM,Northbound,23
Mass. Ave @ Holyoke St,,14,,,,,2:00 PM,Northbound,24
Dudley Square Station,Washington St opp Ruggles St,15,54,42.5,31,Dudley-Ruggles,3:00 PM,Northbound,0
Washington St opp Ruggles St,Washington St @ Melnea Cass Blvd,15,61,45,29,Ruggles-MelneaCass,3:00 PM,Northbound,1
Washington St @ Melnea Cass Blvd,Melnea Cass Blvd @ Harrison Ave,15,53,36,19,MelneaCass-Harrison,3:00 PM,Northbound,2
Melnea Cass Blvd @ Harrison Ave,Albany St opp Randall St,15,85,64,43,Harrison-Randall,3:00 PM,Northbound,3
Albany St opp Randall St,Mass. Ave @ Albany St,15,132,96.5,61,Randall-Albany,3:00 PM,Northbound,4
Mass. Ave @ Albany St,Mass. Ave @ Harrison Ave,15,38,30.5,23,Albany-Harrison,3:00 PM,Northbound,5
Mass. Ave @ Harrison Ave,Mass. Ave @ Washington St,15,113,84,55,Harrison-Washington,3:00 PM,Northbound,6
Mass. Ave @ Washington St,Mass. Ave @ Tremont St,15,95,81.5,68,Washington-Tremont,3:00 PM,Northbound,7
Mass. Ave @ Tremont St,Mass. Ave @ Columbus Ave,15,46,34,22,Tremont-Columbus,3:00 PM,Northbound,8
Mass. Ave @ Columbus Ave,Mass. Ave @ Mass. Ave Station,15,71,50,29,Columbus-MassAveStation,3:00 PM,Northbound,9
Mass. Ave @ Mass. Ave Station,Mass. Ave @ St Botolph St,15,54,34.5,15,MassAveStation-StBotolph,3:00 PM,Northbound,10
Mass. Ave @ St Botolph St,Mass. Ave @ Clearway St,15,97.5,72.25,47,StBotolph-Clearway,3:00 PM,Northbound,11
Mass. Ave @ Clearway St,Mass. Ave @ Newbury St,15,144,99,54,Clearway-Newbury,3:00 PM,Northbound,12
Mass. Ave @ Newbury St,Mass. Ave @ Beacon St,15,115,96,77,Newbury-Beacon,3:00 PM,Northbound,13
Mass. Ave @ Beacon St,77 Mass. Ave,15,160.5,136.25,112,Beacon-MassAve,3:00 PM,Northbound,14
77 Mass. Ave,Mass. Ave @ Albany St,15,72,57.5,43,MassAve-Albany,3:00 PM,Northbound,15
Mass. Ave @ Albany St,Mass. Ave @ Sidney St,15,95,84,73,Albany-Sidney,3:00 PM,Northbound,16
Mass. Ave @ Sidney St,Mass. Ave @ Prospect St,15,140.5,104.75,69,Sidney-Prospect,3:00 PM,Northbound,17
Mass. Ave @ Prospect St,Mass. Ave @ Bigelow St,15,81,58.5,36,Prospect-Bigelow,3:00 PM,Northbound,18
Mass. Ave @ Bigelow St,Mass. Ave @ Hancock St,15,45,37.5,30,Bigelow-Hancock,3:00 PM,Northbound,19
Mass. Ave @ Hancock St,Mass. Ave @ Dana St,15,35,28.75,22.5,Hancock-Dana,3:00 PM,Northbound,20
Mass. Ave @ Dana St,Mass. Ave @ Trowbridge St,15,54,39.5,25,Dana-Trowbridge,3:00 PM,Northbound,21
Mass. Ave @ Trowbridge St,Mass. Ave @ Bow St,15,43,36.5,30,Trowbridge-Bow,3:00 PM,Northbound,22
Mass. Ave @ Bow St,Mass. Ave @ Holyoke St,15,44.5,36.25,28,Bow-Holyoke,3:00 PM,Northbound,23
Mass. Ave @ Holyoke St,,15,,,,,3:00 PM,Northbound,24
Dudley Square Station,Washington St opp Ruggles St,16,55,43,31,Dudley-Ruggles,4:00 PM,Northbound,0
Washington St opp Ruggles St,Washington St @ Melnea Cass Blvd,16,64,46.5,29,Ruggles-MelneaCass,4:00 PM,Northbound,1
Washington St @ Melnea Cass Blvd,Melnea Cass Blvd @ Harrison Ave,16,63,41,19,MelneaCass-Harrison,4:00 PM,Northbound,2
Melnea Cass Blvd @ Harrison Ave,Albany St opp Randall St,16,92,67.5,43,Harrison-Randall,4:00 PM,Northbound,3
Albany St opp Randall St,Mass. Ave @ Albany St,16,134,97.5,61,Randall-Albany,4:00 PM,Northbound,4
Mass. Ave @ Albany St,Mass. Ave @ Harrison Ave,16,45,34,23,Albany-Harrison,4:00 PM,Northbound,5
Mass. Ave @ Harrison Ave,Mass. Ave @ Washington St,16,118,86.5,55,Harrison-Washington,4:00 PM,Northbound,6
Mass. Ave @ Washington St,Mass. Ave @ Tremont St,16,95,81.5,68,Washington-Tremont,4:00 PM,Northbound,7
Mass. Ave @ Tremont St,Mass. Ave @ Columbus Ave,16,59,40.5,22,Tremont-Columbus,4:00 PM,Northbound,8
Mass. Ave @ Columbus Ave,Mass. Ave @ Mass. Ave Station,16,80,54.5,29,Columbus-MassAveStation,4:00 PM,Northbound,9
Mass. Ave @ Mass. Ave Station,Mass. Ave @ St Botolph St,16,54,34.5,15,MassAveStation-StBotolph,4:00 PM,Northbound,10
Mass. Ave @ St Botolph St,Mass. Ave @ Clearway St,16,100.5,73.75,47,StBotolph-Clearway,4:00 PM,Northbound,11
Mass. Ave @ Clearway St,Mass. Ave @ Newbury St,16,117,85.5,54,Clearway-Newbury,4:00 PM,Northbound,12
Mass. Ave @ Newbury St,Mass. Ave @ Beacon St,16,113.5,95.25,77,Newbury-Beacon,4:00 PM,Northbound,13
Mass. Ave @ Beacon St,77 Mass. Ave,16,175,143.5,112,Beacon-MassAve,4:00 PM,Northbound,14
77 Mass. Ave,Mass. Ave @ Albany St,16,76,59.5,43,MassAve-Albany,4:00 PM,Northbound,15
Mass. Ave @ Albany St,Mass. Ave @ Sidney St,16,99,86,73,Albany-Sidney,4:00 PM,Northbound,16
Mass. Ave @ Sidney St,Mass. Ave @ Prospect St,16,181.5,125.25,69,Sidney-Prospect,4:00 PM,Northbound,17
Mass. Ave @ Prospect St,Mass. Ave @ Bigelow St,16,77,56.5,36,Prospect-Bigelow,4:00 PM,Northbound,18
Mass. Ave @ Bigelow St,Mass. Ave @ Hancock St,16,47,38.5,30,Bigelow-Hancock,4:00 PM,Northbound,19
Mass. Ave @ Hancock St,Mass. Ave @ Dana St,16,38,30.25,22.5,Hancock-Dana,4:00 PM,Northbound,20
Mass. Ave @ Dana St,Mass. Ave @ Trowbridge St,16,58,41.5,25,Dana-Trowbridge,4:00 PM,Northbound,21
Mass. Ave @ Trowbridge St,Mass. Ave @ Bow St,16,45,37.5,30,Trowbridge-Bow,4:00 PM,Northbound,22
Mass. Ave @ Bow St,Mass. Ave @ Holyoke St,16,47,37.5,28,Bow-Holyoke,4:00 PM,Northbound,23
Mass. Ave @ Holyoke St,,16,,,,,4:00 PM,Northbound,24
Dudley Square Station,Washington St opp Ruggles St,17,55,43,31,Dudley-Ruggles,5:00 PM,Northbound,0
Washington St opp Ruggles St,Washington St @ Melnea Cass Blvd,17,69,49,29,Ruggles-MelneaCass,5:00 PM,Northbound,1
Washington St @ Melnea Cass Blvd,Melnea Cass Blvd @ Harrison Ave,17,65,42,19,MelneaCass-Harrison,5:00 PM,Northbound,2
Melnea Cass Blvd @ Harrison Ave,Albany St opp Randall St,17,98,70.5,43,Harrison-Randall,5:00 PM,Northbound,3
Albany St opp Randall St,Mass. Ave @ Albany St,17,132,96.5,61,Randall-Albany,5:00 PM,Northbound,4
Mass. Ave @ Albany St,Mass. Ave @ Harrison Ave,17,36,29.5,23,Albany-Harrison,5:00 PM,Northbound,5
Mass. Ave @ Harrison Ave,Mass. Ave @ Washington St,17,119,87,55,Harrison-Washington,5:00 PM,Northbound,6
Mass. Ave @ Washington St,Mass. Ave @ Tremont St,17,115,91.5,68,Washington-Tremont,5:00 PM,Northbound,7
Mass. Ave @ Tremont St,Mass. Ave @ Columbus Ave,17,68.5,45.25,22,Tremont-Columbus,5:00 PM,Northbound,8
Mass. Ave @ Columbus Ave,Mass. Ave @ Mass. Ave Station,17,88,58.5,29,Columbus-MassAveStation,5:00 PM,Northbound,9
Mass. Ave @ Mass. Ave Station,Mass. Ave @ St Botolph St,17,62,38.5,15,MassAveStation-StBotolph,5:00 PM,Northbound,10
Mass. Ave @ St Botolph St,Mass. Ave @ Clearway St,17,105,76,47,StBotolph-Clearway,5:00 PM,Northbound,11
Mass. Ave @ Clearway St,Mass. Ave @ Newbury St,17,183,118.5,54,Clearway-Newbury,5:00 PM,Northbound,12
Mass. Ave @ Newbury St,Mass. Ave @ Beacon St,17,130,103.5,77,Newbury-Beacon,5:00 PM,Northbound,13
Mass. Ave @ Beacon St,77 Mass. Ave,17,177,144.5,112,Beacon-MassAve,5:00 PM,Northbound,14
77 Mass. Ave,Mass. Ave @ Albany St,17,83,63,43,MassAve-Albany,5:00 PM,Northbound,15
Mass. Ave @ Albany St,Mass. Ave @ Sidney St,17,99,86,73,Albany-Sidney,5:00 PM,Northbound,16
Mass. Ave @ Sidney St,Mass. Ave @ Prospect St,17,258,163.5,69,Sidney-Prospect,5:00 PM,Northbound,17
Mass. Ave @ Prospect St,Mass. Ave @ Bigelow St,17,82,59,36,Prospect-Bigelow,5:00 PM,Northbound,18
Mass. Ave @ Bigelow St,Mass. Ave @ Hancock St,17,51,40.5,30,Bigelow-Hancock,5:00 PM,Northbound,19
Mass. Ave @ Hancock St,Mass. Ave @ Dana St,17,42,32.25,22.5,Hancock-Dana,5:00 PM,Northbound,20
Mass. Ave @ Dana St,Mass. Ave @ Trowbridge St,17,65,45,25,Dana-Trowbridge,5:00 PM,Northbound,21
Mass. Ave @ Trowbridge St,Mass. Ave @ Bow St,17,47,38.5,30,Trowbridge-Bow,5:00 PM,Northbound,22
Mass. Ave @ Bow St,Mass. Ave @ Holyoke St,17,48,38,28,Bow-Holyoke,5:00 PM,Northbound,23
Mass. Ave @ Holyoke St,,17,,,,,5:00 PM,Northbound,24
Dudley Square Station,Washington St opp Ruggles St,18,44,37.5,31,Dudley-Ruggles,6:00 PM,Northbound,0
Washington St opp Ruggles St,Washington St @ Melnea Cass Blvd,18,48,38.5,29,Ruggles-MelneaCass,6:00 PM,Northbound,1
Washington St @ Melnea Cass Blvd,Melnea Cass Blvd @ Harrison Ave,18,43,31,19,MelneaCass-Harrison,6:00 PM,Northbound,2
Melnea Cass Blvd @ Harrison Ave,Albany St opp Randall St,18,81,62,43,Harrison-Randall,6:00 PM,Northbound,3
Albany St opp Randall St,Mass. Ave @ Albany St,18,93,77,61,Randall-Albany,6:00 PM,Northbound,4
Mass. Ave @ Albany St,Mass. Ave @ Harrison Ave,18,33,28,23,Albany-Harrison,6:00 PM,Northbound,5
Mass. Ave @ Harrison Ave,Mass. Ave @ Washington St,18,108,81.5,55,Harrison-Washington,6:00 PM,Northbound,6
Mass. Ave @ Washington St,Mass. Ave @ Tremont St,18,96,82,68,Washington-Tremont,6:00 PM,Northbound,7
Mass. Ave @ Tremont St,Mass. Ave @ Columbus Ave,18,61,41.5,22,Tremont-Columbus,6:00 PM,Northbound,8
Mass. Ave @ Columbus Ave,Mass. Ave @ Mass. Ave Station,18,61,45,29,Columbus-MassAveStation,6:00 PM,Northbound,9
Mass. Ave @ Mass. Ave Station,Mass. Ave @ St Botolph St,18,58,36.5,15,MassAveStation-StBotolph,6:00 PM,Northbound,10
Mass. Ave @ St Botolph St,Mass. Ave @ Clearway St,18,98,72.5,47,StBotolph-Clearway,6:00 PM,Northbound,11
Mass. Ave @ Clearway St,Mass. Ave @ Newbury St,18,112,83,54,Clearway-Newbury,6:00 PM,Northbound,12
Mass. Ave @ Newbury St,Mass. Ave @ Beacon St,18,122,99.5,77,Newbury-Beacon,6:00 PM,Northbound,13
Mass. Ave @ Beacon St,77 Mass. Ave,18,161.5,136.75,112,Beacon-MassAve,6:00 PM,Northbound,14
77 Mass. Ave,Mass. Ave @ Albany St,18,80,61.5,43,MassAve-Albany,6:00 PM,Northbound,15
Mass. Ave @ Albany St,Mass. Ave @ Sidney St,18,102,87.5,73,Albany-Sidney,6:00 PM,Northbound,16
Mass. Ave @ Sidney St,Mass. Ave @ Prospect St,18,205,137,69,Sidney-Prospect,6:00 PM,Northbound,17
Mass. Ave @ Prospect St,Mass. Ave @ Bigelow St,18,86,61,36,Prospect-Bigelow,6:00 PM,Northbound,18
Mass. Ave @ Bigelow St,Mass. Ave @ Hancock St,18,50,40,30,Bigelow-Hancock,6:00 PM,Northbound,19
Mass. Ave @ Hancock St,Mass. Ave @ Dana St,18,43,32.75,22.5,Hancock-Dana,6:00 PM,Northbound,20
Mass. Ave @ Dana St,Mass. Ave @ Trowbridge St,18,63,44,25,Dana-Trowbridge,6:00 PM,Northbound,21
Mass. Ave @ Trowbridge St,Mass. Ave @ Bow St,18,47,38.5,30,Trowbridge-Bow,6:00 PM,Northbound,22
Mass. Ave @ Bow St,Mass. Ave @ Holyoke St,18,47,37.5,28,Bow-Holyoke,6:00 PM,Northbound,23
Mass. Ave @ Holyoke St,,18,,,,,6:00 PM,Northbound,24
Dudley Square Station,Washington St opp Ruggles St,19,40,35.5,31,Dudley-Ruggles,7:00 PM,Northbound,0
Washington St opp Ruggles St,Washington St @ Melnea Cass Blvd,19,36,32.5,29,Ruggles-MelneaCass,7:00 PM,Northbound,1
Washington St @ Melnea Cass Blvd,Melnea Cass Blvd @ Harrison Ave,19,34,26.5,19,MelneaCass-Harrison,7:00 PM,Northbound,2
Melnea Cass Blvd @ Harrison Ave,Albany St opp Randall St,19,71,57,43,Harrison-Randall,7:00 PM,Northbound,3
Albany St opp Randall St,Mass. Ave @ Albany St,19,74,67.5,61,Randall-Albany,7:00 PM,Northbound,4
Mass. Ave @ Albany St,Mass. Ave @ Harrison Ave,19,28,25.5,23,Albany-Harrison,7:00 PM,Northbound,5
Mass. Ave @ Harrison Ave,Mass. Ave @ Washington St,19,98,76.5,55,Harrison-Washington,7:00 PM,Northbound,6
Mass. Ave @ Washington St,Mass. Ave @ Tremont St,19,92,80,68,Washington-Tremont,7:00 PM,Northbound,7
Mass. Ave @ Tremont St,Mass. Ave @ Columbus Ave,19,55,38.5,22,Tremont-Columbus,7:00 PM,Northbound,8
Mass. Ave @ Columbus Ave,Mass. Ave @ Mass. Ave Station,19,41,35,29,Columbus-MassAveStation,7:00 PM,Northbound,9
Mass. Ave @ Mass. Ave Station,Mass. Ave @ St Botolph St,19,51,33,15,MassAveStation-StBotolph,7:00 PM,Northbound,10
Mass. Ave @ St Botolph St,Mass. Ave @ Clearway St,19,88,67.5,47,StBotolph-Clearway,7:00 PM,Northbound,11
Mass. Ave @ Clearway St,Mass. Ave @ Newbury St,19,112,83,54,Clearway-Newbury,7:00 PM,Northbound,12
Mass. Ave @ Newbury St,Mass. Ave @ Beacon St,19,106.5,91.75,77,Newbury-Beacon,7:00 PM,Northbound,13
Mass. Ave @ Beacon St,77 Mass. Ave,19,145,128.5,112,Beacon-MassAve,7:00 PM,Northbound,14
77 Mass. Ave,Mass. Ave @ Albany St,19,71,57,43,MassAve-Albany,7:00 PM,Northbound,15
Mass. Ave @ Albany St,Mass. Ave @ Sidney St,19,87,80,73,Albany-Sidney,7:00 PM,Northbound,16
Mass. Ave @ Sidney St,Mass. Ave @ Prospect St,19,143,106,69,Sidney-Prospect,7:00 PM,Northbound,17
Mass. Ave @ Prospect St,Mass. Ave @ Bigelow St,19,81,58.5,36,Prospect-Bigelow,7:00 PM,Northbound,18
Mass. Ave @ Bigelow St,Mass. Ave @ Hancock St,19,44,37,30,Bigelow-Hancock,7:00 PM,Northbound,19
Mass. Ave @ Hancock St,Mass. Ave @ Dana St,19,37,29.75,22.5,Hancock-Dana,7:00 PM,Northbound,20
Mass. Ave @ Dana St,Mass. Ave @ Trowbridge St,19,53,39,25,Dana-Trowbridge,7:00 PM,Northbound,21
Mass. Ave @ Trowbridge St,Mass. Ave @ Bow St,19,47,38.5,30,Trowbridge-Bow,7:00 PM,Northbound,22
Mass. Ave @ Bow St,Mass. Ave @ Holyoke St,19,43,35.5,28,Bow-Holyoke,7:00 PM,Northbound,23
Mass. Ave @ Holyoke St,,19,,,,,7:00 PM,Northbound,24
Dudley Square Station,Washington St opp Ruggles St,20,36,33.5,31,Dudley-Ruggles,8:00 PM,Northbound,0
Washington St opp Ruggles St,Washington St @ Melnea Cass Blvd,20,38,33.5,29,Ruggles-MelneaCass,8:00 PM,Northbound,1
Washington St @ Melnea Cass Blvd,Melnea Cass Blvd @ Harrison Ave,20,31,25,19,MelneaCass-Harrison,8:00 PM,Northbound,2
Melnea Cass Blvd @ Harrison Ave,Albany St opp Randall St,20,63,53,43,Harrison-Randall,8:00 PM,Northbound,3
Albany St opp Randall St,Mass. Ave @ Albany St,20,73,67,61,Randall-Albany,8:00 PM,Northbound,4
Mass. Ave @ Albany St,Mass. Ave @ Harrison Ave,20,26,24.5,23,Albany-Harrison,8:00 PM,Northbound,5
Mass. Ave @ Harrison Ave,Mass. Ave @ Washington St,20,91,73,55,Harrison-Washington,8:00 PM,Northbound,6
Mass. Ave @ Washington St,Mass. Ave @ Tremont St,20,85,76.5,68,Washington-Tremont,8:00 PM,Northbound,7
Mass. Ave @ Tremont St,Mass. Ave @ Columbus Ave,20,45,33.5,22,Tremont-Columbus,8:00 PM,Northbound,8
Mass. Ave @ Columbus Ave,Mass. Ave @ Mass. Ave Station,20,34,31.5,29,Columbus-MassAveStation,8:00 PM,Northbound,9
Mass. Ave @ Mass. Ave Station,Mass. Ave @ St Botolph St,20,43,29,15,MassAveStation-StBotolph,8:00 PM,Northbound,10
Mass. Ave @ St Botolph St,Mass. Ave @ Clearway St,20,79,63,47,StBotolph-Clearway,8:00 PM,Northbound,11
